dateiname,titel,artist,enstehungszeit,objektbezeichnug,guid,entstehungszeit,objektbezeichnung
sgs_mup_anonym_3479_001_s.jpg,Waldlichtung mit Hirschen,"Anonym, Französisch",,,83317C1448C4695E654F3AF0619CA65,19. Jh.,Gemälde
NaN,Stilleben mit Blumen und Eßwaren,Georg Flegel,,,9BA1B1E144A3411A9A51859A67D8E530,um 1630,Gemälde
sgs_mup_bravo_3394_001_s.jpg,Landschaft mit verfallender Architektur und einem Reiter,Cecco Bravo,,,5E84E96E4C44D5875DE6DFACB86FEA6B,um 1630/40,Gemälde
sgs_mup_anonym_3593_001_s.jpg,Ausbruch des Vesuv,Anonym,,,83B795324231E30A6CD658889B083324,19. Jh.,Gemälde
sgs_mup_klee_l-1428_001_s.jpg,Rhythmus der Fenster,Paul Klee,,,AA61EA674B9637F920D0AB819C01B844,1920,Gemälde
sgs_mup_marc_2519_001_s.jpg,Die kleinen gelben Pferde,Franz Marc,,,FC253C354022E920FA4EFCB94200A46C,1912,Gemälde
sgs_mup_schlemmer_2424_001_s.jpg,Unterricht II,Oskar Schlemmer,,,C24DF31241EF93C55DC1F7BA05CBA3E7,1928,Gemälde
sgs_mup_moholy-nagy_lna-793_001_s.jpg,Komposition Li,László Moholy-Nagy,,,257A3AAB44B1C006FC6752827740F9E2,1926,Gemälde
sgs_mup_mondrian_3353_001_s.jpg,Komposition im Quadrat (Composition dans le carré),Piet Mondrian,,,3E38D85F4CB5C93DE7EDC784B6EBD64F,1922,Gemälde
NaN,"Komposition in Weiß, Rot und Blau (Composition en blanc, rouge et bleu)",Piet Mondrian,,,61E27C0B46CAC95BBFAB85BBA5FF4C15,1936,Gemälde
sgs_mup_munch_2712_001_s.jpg,Das rote Haus im Schnee,Edvard Munch,,,69A4FE3B411B0FA669CEAABE2AC7C954,um 1925-1926,Gemälde
sgs_mup_delaunay_2795_001_s.jpg,Paris - Die Frau und der Turm (Ville de Paris - La femme et la tour),Robert Delaunay,,,6673151F4A3E962017E0EE86074AC694,1925,Gemälde
sgs_mup_kandinsky_2723_001_s.jpg,Improvisation 9,Wassily Kandinsky,,,D2DF983743D34153BFBE2FB6AB6D95A8,1910,Gemälde
sgs_mup_kandinsky_3091_001_s.jpg,Komposition No. 350 (Hommage à Grohmann),Wassily Kandinsky,,,1A8118A948DE9F0211F0538E4D0B4785,1926,Gemälde
sgs_mup_kirchner_2343_001_s.jpg,Segelboote bei Grünau,Ernst Ludwig Kirchner,,,2E0FEB2D4D187A9A161F36ADD84D1952,1914,Gemälde
sgs_mup_kirchner_2817_001_s.jpg,Hirte (mit langer Peitsche),Ernst Ludwig Kirchner,,,122B3D42416C7FE34118889385B3C2FA,1922,Gemälde
sgs_mup_klee_2352_001_s.jpg,Komposition mit schwarzem Brennpunkt,Paul Klee,,,AC2A95AB40971D436C8A059B791CE707,1919,Gemälde
sgs_mup_klee_2752_001_s.jpg,Orakel,Paul Klee,,,243FB0D04EBB1FED305AA0B30E8E5788,1922,Gemälde
sgs_mup_klee_2696_001_s.jpg,Jungwaldtafel,Paul Klee,,,32A78DF04BF9809FA93784BD3D6831C6,1926,Gemälde
sgs_mup_klee_3089_001_s.jpg,Vierteiliger Palast,Paul Klee,,,11E7F8BD46DC3F1354CAC19D801C3C2E,1933,Gemälde
sgs_mup_hoelzel_3295_001_s.jpg,Komposition (Legende der Heiligen Ursula),Adolf Hölzel,,,E858ABF84F288BF46E9DE7843A4C2A81,um 1913-1914,Gemälde
sgs_mup_hoelzel_3296_001_s.jpg,Große Abstraktion,Adolf Hölzel,,,8BD26B6240919F98F04CDDA5015E0BCA,um 1916,Gemälde
sgs_mup_gris_2742_001_s.jpg,Stilleben mit Fruchtschale (Nature morte au compotier),Juan Gris,,,ED1CB33848F234676B62109C9CFD9F11,1918,Gemälde
NaN,Sturm in der Campagna,Oswald Achenbach,,,A5D5C0BF45225B82939352A80907767E,1887,Gemälde
sgs_mup_courbet_3354_001_s.jpg,Meeresküste mit Segelboot bei aufziehendem Gewitter,Gustave Courbet,,,882435B7C8DA498BA6CA71C048003865,um 1869,Gemälde
sgs_mup_monet_2410_001_s.jpg,Das Meer bei Fécamp,Claude Monet,,,958E3A1B4E4E384220744785BCF5A424,1881,Gemälde
sgs_mup_rottmann_2162_001_s.jpg,Sonnenuntergang bei Aegina,Carl Rottmann,,,2952272C4DECF437EC7F1589D90A2DCB,1836,Gemälde
sgs_mup_liebermann_3050_001_s.jpg,Strandlandschaft,Max Liebermann,,,7F56C5244523A2E377EB6C98E601C102,1913,Gemälde
sgs_mup_serusier_1194_001_s.jpg,Felsen von Huelgoat,Paul Sérusier,,,3E250499409195981ED9DB9324DB418F,1891,Gemälde
sgs_mup_signac_2698_001_s.jpg,Hafen von Portrieux,Paul Signac,,,5B468546417DB46AC2AFEC9CB2093302,1888,Gemälde
sgs_mup_signac_2515_001_s.jpg,"Morgen an der Seine bei Samois (La Seine à Samois, Étude n° 13)",Paul Signac,,,356197C843D454726E6707A54022485D,1899/1900,Gemälde
sgs_mup_sisley_3088_001_s.jpg,Das Kleefeld (Le champ de Trèfle),Alfred Sisley,,,F12EBF7947916CEFB8F47F99063C5EFD,1874,Gemälde
sgs_mup_sisley_2648_001_s.jpg,Winter in Louveciennes (Hiver à Louveciennes),Alfred Sisley,,,35D78A17479915FC43E059A87D8E4AD1,1876,Gemälde
sgs_mup_hondius_3352_002_s.jpg,Kampf zwischen einem Stier und Hunden,Abraham Hondius,,,E14529684C21BBEF792D6881E56BC6BC,1683,Gemälde
sgs_mup_mirou_506_001_s.jpg,Waldlandschaft,"Anton Mirou, Art des",,,22BA98D046462B63A72774A3E594BD4F,1. Hälfte 17. Jh.,Gemälde
sgs_mup_mondrian_l-1331_001_s.jpg,Komposition mit Farbflächen: Fassade (Composition avec plans de couleurs: Façade),Piet Mondrian,,,CE18162A490560A3414B78B81A75724,1914,Gemälde
NaN,Tableau II,Piet Mondrian,,,AD15EEE340EF8F48546D97B6EE8F4265,1921,Gemälde
NaN,Das Donautal bei Gutenstein,Christian Landenberger,,,60055473465C4C3283C4B983150418F2,1893,Gemälde
sgs_mup_kappis_1706_001_s.jpg,Wolken über dem Bodensee,Albert Kappis,,,33153803452AB4722D5460848940F394,um 1895,Gemälde
sgs_mup_courbet_1178_001_s.jpg,Meeresstrand bei Sonnenuntergang,Gustave Courbet zugeschrieben,,,1859E6E64A13DFF4C2FA3593A9A1F63B,Um 1900,Gemälde
sgs_mup_heinzmann_692_001_s.jpg,Hafen von Torbole am Gardasee,Carl Friedrich Heinzmann,,,A7809163440483C35D1EC6997A5F55C0,1846,Gemälde
sgs_mup_jawlenski_2174_001_s.jpg,Herbstlandschaft,Alexej Jawlensky,,,BF323DAC4FEC5F7CBB49E59A9BE922C2,1907,Gemälde
sgs_mup_kanold_1386_001_s.jpg,Telegraphendrähte im Rauhreif,Alexander Kanoldt,,,6BAB36004F410A2D3396D49046FB108A,1921,Gemälde
sgs_mup_pleuer_1463_001_s.jpg,Stuttgarter Bahnhof bei Nacht,Hermann Pleuer,,,8F833B0A48ED3344DCD8E8ADB4052480,1897,Gemälde
sgs_mup_reiniger_2445_001_s.jpg,Herbstwald,Otto Reiniger,,,DEA4CDF04ABA5D38344772BE73310AD2,19. Jahrhundert,Gemälde
